age,male,married,ln_wage,rural_hk,familysize,old_ratio,child_ratio,ln_property,ln_transfer,edu_my,ifsocial,social_rate_h,ln_pce,ln_indinc_cr,year2,citycode2
45,0,1,7.8240461,0,3,0,0,0,0,4,1,0.10714286,10.77339921,9.680344001,3,1
41,1,1,7.6809454,0,3,0,0,0,0,2,0,0,11.32466632,10.56273322,1,1
34,0,1,7.8240461,0,4,0,0.5,0,0,4,0,0,10.52244983,10.38899537,1,1
36,1,0,8.0063677,0,2,0,0,0,7.6966672,4,1,0.16666667,9.928180165,11.0638219,1,1
47,1,1,7.0619059,0,3,0,0.33333334,0,0,4,1,0.27419356,11.08827754,9.113829472,1,1
29,1,0,7.9781966,0,3,0,0,0,8.2430191,4,1,0.064171121,10.30895266,10.24233789,1,1
54,1,1,7.6962128,0,5,0.2,0.2,0,7.5144362,3,1,0.10954649,10.9241383,9.560997244,3,1
53,1,1,7.130899,0,5,0.2,0,0,8.1928473,3,0,0,10.91508846,10.38633337,1,1
54,0,1,7.6009026,0,2,0,0,0,7.7410989,2,0,0,9.698183919,10.27332548,1,1
56,0,1,7.8240461,0,3,0,0,0,7.9105906,2,0,0,10.72967851,9.947504438,3,1
32,1,1,8.5171928,0,1,0,0,8.1608038,0,4,1,0.12173913,10.82615789,12.22939847,1,1
40,0,1,7.6962128,0,3,0,0.33333334,0,0,3,1,0.19061583,10.65584659,8.29404964,3,1
44,0,1,7.8240461,1,3,0,0,0,0,3,0,0,11.48184751,10.05763826,5,1
36,1,1,8.0063677,0,5,0,0.2,0,8.6996813,3,1,0.11764706,11.50549795,10.01681624,3,1
38,1,1,8.0063677,0,5,0,0.2,0,8.6715155,3,1,0.11764706,11.61566254,10.04324949,5,1
30,0,1,8.1605186,0,5,0,0,7.8244457,8.9873219,4,1,0.18604651,11.48699208,10.70099475,3,1
30,1,1,9.4334841,0,2,0,0,0,0,4,1,0.033161383,11.52958591,12.15477935,1,1
50,0,1,7.418581,0,3,0,0,0,7.5501351,3,0,0,10.35265052,10.32438845,1,1
34,1,1,8.1605186,0,3,0,0.33333334,0,0,4,1,0.064713128,10.89154065,10.59663473,3,1
33,0,1,8.6995144,0,3,0,0.33333334,0,0,4,1,0.041983411,11.76914783,10.41431314,5,1
51,0,1,7.6009026,0,4,0,0,0,7.71913,2,0,0,11.86484914,10.19428975,3,1
